repetition,server_mode,n_clients,messages_per_client,message_size,total_wall_time_s,avg_client_time_ms,median_client_time_ms,max_client_time_ms,total_messages,msgs_per_sec,bytes_per_sec,successful_clients,failed_clients
0,sequential,1,100,256,0.010717141999975865,3.27,3.27,3.27,100,9330.845854260884,2388696.5386907863,1,0
0,sequential,2,100,256,0.017467713999849366,6.641500000000001,6.641500000000001,7.681,200,11449.695134791233,2931121.9545065556,2,0
0,sequential,4,100,256,0.024056734999930995,9.03925,9.091999999999999,11.502,400,16627.36027981966,4256604.231633833,4,0
0,sequential,8,100,256,0.042550069000071744,13.8945,13.9705,20.312,800,18801.379617002527,4813153.181952647,8,0
0,sequential,16,100,256,0.07103656599997521,20.9904375,20.681,35.411,1600,22523.611290564895,5766044.490384613,16,0
0,concurrent,1,100,256,0.019805766999979824,5.153,5.153,5.153,100,5049.034455474603,1292552.8206014985,1,0
0,concurrent,2,100,256,0.013828252999928736,5.65,5.65,6.031,200,14463.142958190792,3702564.597296843,2,0
0,concurrent,4,100,256,0.020297512000070128,5.3855,5.776,6.362,400,19706.84879992277,5044953.292780229,4,0
0,concurrent,8,100,256,0.02562621699985357,10.975625,12.439499999999999,15.56,800,31218.029567320504,7991815.569234049,8,0
0,concurrent,16,100,256,0.045480907999944975,7.8215625,7.638,9.663,1600,35179.59667827951,9005976.749639554,16,0
1,sequential,1,100,256,0.019268052000143143,6.029,6.029,6.029,100,5189.938245924242,1328624.190956606,1,0
1,sequential,2,100,256,0.017843891999973494,6.484,6.484,6.939,200,11208.317109310967,2869329.1799836075,2,0
1,sequential,4,100,256,0.028944020999915665,7.45575,7.208,9.187,400,13819.779912444283,3537863.6575857364,4,0
1,sequential,8,100,256,0.040431952000062665,13.023,11.937999999999999,22.457,800,19786.331364826514,5065300.829395588,8,0
1,sequential,16,100,256,0.07318661699991935,21.016375,23.826999999999998,34.374,1600,21861.920465619598,5596651.639198617,16,0
1,concurrent,1,100,256,0.020771176999915042,5.42,5.42,5.42,100,4814.363673296367,1232477.10036387,1,0
1,concurrent,2,100,256,0.027745276000132435,7.031000000000001,7.031000000000001,7.351,200,7208.434329470911,1845359.188344553,2,0
1,concurrent,4,100,256,0.02159388199993373,4.68925,4.545999999999999,5.783,400,18523.765203552914,4742083.892109546,4,0
1,concurrent,8,100,256,0.029685976000109804,7.527,7.3285,9.801,800,26948.75182803627,6898880.467977285,8,0
1,concurrent,16,100,256,0.049821911999970325,5.1210625,5.036,6.51,1600,32114.38372740398,8221282.234215419,16,0
2,sequential,1,100,256,0.02008338499990714,5.995,5.995,5.995,100,4979.24030239237,1274685.5174124467,1,0
2,sequential,2,100,256,0.01682166699993104,6.1325,6.1325,7.204,200,11889.428081106344,3043693.588763224,2,0
2,sequential,4,100,256,0.025575543000059042,6.82475,6.397,8.854,400,15639.941642649643,4003825.0605183085,4,0
2,sequential,8,100,256,0.03909512799987169,11.78675,10.676,19.387,800,20462.907807914722,5238504.398826169,8,0
2,sequential,16,100,256,1.1048618820000229,23.539437500000002,22.614,43.305,1600,1448.1448098324083,370725.07131709653,16,0
2,concurrent,1,100,256,0.019177049999825613,5.359,5.359,5.359,100,5214.566369744531,1334928.9906545999,1,0
2,concurrent,2,100,256,0.022810031000062736,9.173,9.173,9.41,200,8768.072257308635,2244626.4978710106,2,0
2,concurrent,4,100,256,0.01988918500001091,4.36225,4.4505,5.437,400,20111.432419165518,5148526.699306373,4,0
2,concurrent,8,100,256,0.024544744999957402,4.9399999999999995,4.7245,6.053,800,32593.5347872381,8343944.905532953,8,0
2,concurrent,16,100,256,0.051252111999929184,6.2175,5.4455,12.375,1600,31218.225699698203,7991865.77912274,16,0
