server_mode,n_clients,messages_per_client,message_size,repetitions,avg_total_wall_time_s,avg_client_time_ms,median_client_time_ms,max_client_time_ms,avg_msgs_per_sec,avg_bytes_per_sec,total_successful_clients,total_failed_clients,speedup
concurrent,1,100,256,3,0.019917997999906827,5.310666666666666,5.310666666666666,5.310666666666666,5025.988166171834,1286652.9705399894,3,0,0.8379118390020984
concurrent,2,100,256,3,0.02146118666670797,7.284666666666667,7.284666666666667,7.597333333333333,10146.549848323446,2597516.761170802,6,0,0.809729580030268
concurrent,4,100,256,3,0.020593526333338257,4.812333333333334,4.924166666666666,5.860666666666667,19447.348807547067,4978521.294732049,12,0,1.2718608383370267
concurrent,8,100,256,3,0.026618979333306925,7.814208333333333,8.164166666666667,10.471333333333334,30253.438727531626,7744880.314248096,24,0,1.5286980950875828
concurrent,16,100,256,3,0.04885164399994816,6.386708333333333,6.039833333333333,9.516,32837.402035127234,8406374.920992572,48,0,8.522982119777744
sequential,1,100,256,3,0.016689526333342048,5.098,5.098,5.098,6500.008134192499,1664002.0823532797,3,0,0.8379118390020984
sequential,2,100,256,3,0.017377757666584632,6.419333333333333,6.419333333333333,7.274666666666667,11515.813441736182,2948048.2410844625,6,0,0.809729580030268
sequential,4,100,256,3,0.026192099666635233,7.77325,7.565666666666666,9.847666666666667,15362.360611637861,3932764.3165792925,12,0,1.2718608383370267
sequential,8,100,256,3,0.04069238300000203,12.901416666666666,12.194833333333333,20.718666666666667,19683.539596581253,5038986.136724801,24,0,1.5286980950875828
sequential,16,100,256,3,0.41636168833330583,21.84875,22.374,37.696666666666665,15277.8921886723,3911140.400300109,48,0,8.522982119777744
